Person ID,City,Q1 Answer,Q2 Multiple Choice,Q2 Text,Q3 Multiple Choice,Q3 Text,Q4 Answer,Q5 Answer
1,Casablanca,"Yes, in Casablanca it's hotter than in the village.","Yes","","Yes","I get headakes and feel dizzy from the heat.","Green spaces are very importent; they help cool down the city.","We shuld plant more trees and create more parks."
2,Marrakech,"Definetly, the city is way hotter than the countryside.","Yes","Tempratures are rising unusuallly during summers.","Not Really","I have felt sick becuse of the high heat.","Green spaces are few here, but they can help make the city cooler.","We need to add more green areas and reduce big buildings."
3,Rabat,"I notice that urban areas are warmer than rural ones.","Yes","Temprature has been rising lately in summer.","Not Really","Sometimes I feel very tired and cant stay outside for long.","Green spaces act like lungs for the city.","By planting more trees and creating parks, we can make the city cooler."
4,Fes,"The city of Fes is much hotter than nearby rural areas.","Yes","We have experienced unusual high tempratures in recent summers.","Yes","I get headaches due to the heat sometimes.","Green spaces are limited but they help a lot.","Increasing green areas and planting trees can help solve the problem."
5,Tangier,"In Tangier, the city feels warmer than the villages, even though we're near the sea.","Yes","Summers are becoming hotter than before.","No","","Green spaces provide shade and make the city cooler.","We should have more parks and plant more trees."
6,Agadir,"Yes, the temperature difference is clear. The city is hotter than the countryside.","Yes","The heat in summer is getting worse.","Yes","I sometimes get skin rashes because of the heat.","Green spaces are important to reduce the city's temperature.","Planting more trees and having more green areas can help."
7,Meknes,"The urban area here is definitly warmer than rural places.","Yes","Unusual high temperatures have been happening.","Not Really","I feel exhausted when it's too hot.","Green spaces help cool down the environment.","We need more parks and trees in the city."
8,Oujda,"The city feels much hotter compared to the countryside.","Yes","Temperature rises unusually during summer.","Yes","I feel dizzy sometimes because of the heat.","Green spaces are few but very helpful.","Planting trees and creating parks can reduce the heat."
9,Kenitra,"Urban areas are hotter; I feel it when I travel to rural places.","Yes","We have experienced higher temperatures recently.","Yes","Heat gives me headaches occasionally.","Green spaces are essential to make the city cooler.","Increasing green areas and reducing concrete can help."
10,Tetouan,"Yes, the city is warmer than nearby villages.","Yes","Summers are getting hotter here.","No","","Green spaces make a difference in cooling the city.","We should create more parks and plant trees."
11,El Jadida,"I notice the city is hotter than rural areas around.","Yes","Temperatures have been unusually high.","Not Really","I sometimes feel very tired because of the heat.","Green spaces help reduce the temperature.","Planting more trees and having parks can solve this."
12,Nador,"The urban area is warmer than the countryside.","Yes","Hotter summers are becoming normal.","No","","We need more green spaces to cool down the city.","Adding parks and planting trees would help."
13,Safi,"Yes, there's a big difference; the city is hotter.","Yes","Temperatures are rising unusually.","Not Really","Heat makes me feel tired and sluggish.","Green areas can help reduce the city's heat.","Increasing greenery and reducing buildings can help."
14,Mohammedia,"The city feels much warmer than rural places.","Yes","We've noticed higher temperatures in summer.","Yes","I get tired quickly because of the heat.","Green spaces are helpful to cool the city.","More trees and parks are needed."
15,Settat,"Urban areas here are definitely hotter.","Yes","Unusual temperature increases are happening.","Yes","I sometimes feel sick due to the heat.","Green spaces are important for reducing heat.","Planting trees and creating green areas can help."
16,Larache,"The city is warmer than the countryside nearby.","Yes","Summers are becoming unusually hot.","No","","We need more green spaces to help with the heat.","Increasing greenery in the city is a solution."
17,Beni Mellal,"Yes, there's a noticeable difference; the city is hotter.","Yes","The heat has been rising in summer.","Not Really","I feel tired and can't work well when it's too hot.","Green spaces are good for cooling down the city.","Planting more trees and having parks can solve this issue."
18,Essaouira,"Even though we're by the coast, the city is hotter than rural areas.","Yes","Temperatures have been higher than normal.","No","","Green spaces help make the city cooler and more pleasant.","We should create more green areas and plant trees to reduce the heat."